>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f36dce5e970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
940000,-241393.4363549971,280.66068332944786,551
950000,-234852.75306642288,299.41454544323625,552
960000,-233338.9889673018,311.17495420839657,552
970000,-229205.09175050491,323.25498100624054,552
980000,-222576.68293702835,340.49841850766876,552
990000,-218953.2357324385,363.09788964222525,553
1000000,-210543.26124513382,394.8804485040084,552
1010000,-213092.50184571976,375.6959292691196,552
1020000,-209630.74995362991,391.43107526135725,552
1030000,-200117.76905763382,435.32696808860567,552
1040000,-201053.10792482132,438.41218235642935,552
1050000,-197293.1361230635,451.69795830885414,552
1060000,-191867.31928956741,478.7739681676461,552
1070000,-196602.45509279007,452.67960049132273,552
1080000,-194115.96906984085,468.5440585525624,552
1090000,-187837.3377221846,502.87076245002817,551
1100000,-198994.96540773148,440.3599991662592,551
1110000,-205122.64820802445,418.45214675245364,551
1120000,-207605.70173585648,396.8459683297393,551
1130000,-210928.47706544632,382.7125500686185,551
1140000,-216514.6452173018,362.35950517001805,551
1150000,-214996.10240113968,377.9300916154619,551
1160000,-214098.63441407913,374.4662152071696,551
1170000,-220132.92774904007,350.39882224832195,551
1180000,-225603.64857423538,333.8263364206953,551
1190000,-225718.4123681807,330.47471424638604,551
1200000,-225534.33027589554,325.9534705533686,551
1210000,-229095.6302636885,322.74006450442505,552
1220000,-234336.75971925491,306.1319457996715,552
1230000,-237179.4192041182,289.8947877559115,552
1240000,-238026.8952173018,289.420209290183,552
1250000,-240812.1754907393,283.0674457955596,553
1260000,-240768.27448976273,279.00262989731505,553
1270000,-236214.74891603226,297.36311437640956,553
1280000,-235476.56831300491,300.9003301142264,553
1290000,-234516.56825196976,295.6534252518431,553
1300000,-236681.36067140335,293.8314667076252,554
1310000,-238839.9206079268,292.14847355768006,554
1320000,-240628.76356446976,283.01685338217277,554
1330000,-243757.68220460648,275.3800690183732,554
1340000,-244494.48902833695,274.1455370838601,555
1350000,-243935.535537126,269.96074966434355,555
1360000,-242674.91230714554,283.9110882291049,555
1370000,-241689.7663110518,280.3610224235857,555
1380000,-239070.20332277054,292.27865740033917,555
1390000,-231591.31642091507,309.5231028910657,556
1400000,-229112.3360589766,322.4268646233806,556
1410000,-227702.87129152054,321.9438483101092,556
1420000,-222612.46931398148,341.2433764012239,556
1430000,-220359.23286378616,353.6104345813165,556
1440000,-220446.7224878096,352.2348546791697,556
1450000,-218003.20509279007,363.21428736168485,556
1460000,-208701.68269288773,400.7693143248315,556
1470000,-209676.08528077835,405.1472826879021,556
1480000,-202715.43965089554,426.529215994111,556
1490000,-200009.2184594893,438.74143626405277,556
1500000,-193846.19886720413,464.27963204506193,556
1510000,-191352.9662011885,482.6793794207812,555
1520000,-194889.3361963057,469.5292123183133,555
1530000,-200698.71577394241,440.1220483644304,555
1540000,-201713.7512353682,418.52675695028006,555
1550000,-208351.5258020186,396.97946484330726,555
1560000,-205889.60731446976,412.27619433199374,555
1570000,-203392.3529199385,423.9956600949968,555
1580000,-208179.39765870804,402.95145824960616,555
1590000,-209684.29792726273,385.47856388311516,555
1600000,-214284.97352540726,375.14986849303654,555
1610000,-210879.65974366898,386.65201309731106,555
1620000,-208392.52302491898,401.41382986665275,555
1630000,-199503.8254541182,435.4777479201945,554
1640000,-191907.26692140335,475.0199992739869,554
1650000,-188386.07762086624,499.8984002302176,554
1660000,-188547.92677247757,499.6505940906929,554
1670000,-188040.1629174971,497.4872710057221,554
1680000,-191747.59077394241,483.93335593614125,554
1690000,-196587.5652612471,467.82625459625325,554
1700000,-188686.53211915726,506.2307215218982,553
1710000,-197100.65003907913,451.60131664486596,553
1720000,-195354.04286134476,464.93432121643957,553
1730000,-200533.96339357132,442.2366564260423,553
1740000,-203157.1888574385,424.25381427070516,553
1750000,-200343.49500978226,441.2639685996729,553
1760000,-205118.05665529007,412.8596103101374,553
1770000,-202216.97700441116,427.3188182750746,553
1780000,-191768.20600831741,488.6094422575008,553
1790000,-192224.3376001143,480.056833264721,553
1800000,-195076.10548341507,471.25049647945684,552
1810000,-190936.56800782913,489.38805788084346,552
1820000,-188846.8294824385,499.5951285722203,552
1830000,-187112.3518213057,502.80478813566856,552
1840000,-194914.9997094893,472.25116916584125,552
1850000,-192604.13246095413,491.9510268754091,552
1860000,-197581.46003663773,456.24407762488676,552
1870000,-202818.52528321976,431.0553646419818,552
1880000,-203753.0619043135,429.0179840124978,552
1890000,-207773.65479982132,403.6571026695489,552
1900000,-212931.992568376,373.6793367345526,552
1910000,-218834.1990503096,354.321196099074,552
1920000,-225281.62586915726,332.9757258515009,552
1930000,-229712.88966310257,322.3332958910866,552
1940000,-232387.38587892288,312.2108799293879,552
1950000,-232102.37055909866,307.20700780256107,552
1960000,-234511.85371339554,300.209562984085,552
1970000,-234554.8650659346,298.11477015771044,552
1980000,-231771.62641847366,307.7277575696173,553
1990000,-229801.11347902054,317.08445891898896,553
2000000,-228851.51026857132,321.07750113988976,553
2010000,-226432.94355714554,333.5013858156002,553
2020000,-225737.174209001,331.41617389526476,553
2030000,-222661.84504640335,343.9920089375739,553
2040000,-222685.6067041182,340.4678573105649,553
2050000,-220256.39253175491,352.9243567059661,553
2060000,-219523.20014894241,349.84984579210544,553
2070000,-217268.69517457718,364.19234948514725,553
2080000,-217713.00794923538,362.25138619344017,553
2090000,-220377.90962159866,356.2940305269567,553
2100000,-225920.1510766768,330.9761913409961,553
2110000,-228126.79402101273,319.1066028027724,553
2120000,-229405.7498315596,321.21092802165685,553
2130000,-225649.0192407393,328.89399863170223,553
2140000,-228205.2346338057,322.4518551282124,553
2150000,-229334.09913575882,318.750582940595,554
2160000,-231484.18653810257,307.6890876351266,554
2170000,-234343.4875634932,299.79857259123804,554
2180000,-234550.20466554398,301.8692095996324,554
2190000,-234430.0695947432,297.67563913114634,554
2200000,-238221.61616456741,290.21717422507464,554
2210000,-238679.54023683304,289.93336488493696,554
2220000,-237773.62586915726,293.5459152795331,554
2230000,-240337.9724878096,278.5044508542131,555
2240000,-241009.28761232132,284.03682219723675,555
2250000,-244074.44642579788,274.5558722556129,555
2260000,-244203.16889894241,276.5056566282106,555
2270000,-244664.16950929398,273.08540281982505,555
2280000,-244682.74519288773,268.5394981413329,555
2290000,-243714.20899904007,272.50670632155976,555
2300000,-241092.54939210648,281.8844558769294,555
2310000,-241899.5437768721,284.14554907236004,555
2320000,-238108.65980470413,292.559904788233,556
2330000,-240333.31953370804,284.1434009914164,556
2340000,-240620.00251710648,282.96609760497034,556
2350000,-243546.55525148148,272.9150968529491,556
2360000,-244352.94544923538,272.94143816147295,556
2370000,-244541.95356691116,273.70844377715446,556
2380000,-244711.47407472366,271.17331831188744,556
2390000,-243307.8523706221,272.8043054175404,556
2400000,-241957.65278566116,283.66034410587463,557
2410000,-237772.08625734085,290.5252081288927,557
2420000,-234602.93995607132,299.0083831193299,557
2430000,-232302.04164064163,307.28780632123244,557
2440000,-232017.49067628616,311.26194897702044,557
2450000,-229660.48261964554,322.54354072035727,557
2460000,-222507.5974878096,340.35054739353944,557
2470000,-223212.81965577835,342.02601015229607,557
2480000,-223038.41010987991,344.26009201695103,557
2490000,-220692.39524781937,352.0162368576064,557
2500000,-220742.0252221846,352.58012464813163,557
2510000,-217387.13484132523,360.408248734128,557
2520000,-212025.52040040726,384.35020488770397,557
2530000,-214565.89466798538,378.08281993460866,557
2540000,-211564.91706788773,385.23603861978864,557
2550000,-212059.55952394241,389.4776130097534,557
2560000,-206547.7209619307,420.47438599606113,557
2570000,-202863.23921144241,416.9757674375481,557
2580000,-208234.5407251143,398.77589357887837,557
2590000,-208806.97773683304,405.4799024936205,557
2600000,-209248.09468019241,397.2483672226695,557
2610000,-213345.33119142288,378.9536917136992,557
2620000,-214511.04743898148,372.3546428823296,557
2630000,-217464.40833986038,362.0853367250958,557
2640000,-217017.58430421585,359.49799716531896,557
2650000,-217553.04994142288,361.0755818268802,557
2660000,-217876.66413820023,362.87228219381785,557
2670000,-214572.0143579268,374.7716051832732,557
2680000,-211726.1799463057,387.37829743665196,557
2690000,-211061.2771753096,384.0435698890105,557
2700000,-207801.17964112991,398.12994111432477,556
2710000,-208553.62824952835,405.2606163142583,556
2720000,-202874.85951173538,422.8922823348526,556
2730000,-197393.08570802445,459.86729818032364,556
2740000,-194702.15388429398,467.734288132901,556
2750000,-196844.35191285843,448.4583258216724,556
2760000,-194196.0680688643,474.3812022083559,556
2770000,-188783.44258058304,506.36446056138095,556
2780000,-194619.0130761885,469.9969437472005,556
2790000,-188646.67933595413,502.87247803931444,556
2800000,-188727.10945070023,503.42757407466576,556
2810000,-193509.89808595413,478.0936065302817,556
2820000,-194386.36531007523,470.48626418059314,556
2830000,-197888.0324853682,462.5612246885593,556
2840000,-190379.05287111038,488.043345351159,556
2850000,-191795.0856469893,487.6827477205277,555
2860000,-194702.73292482132,468.64685645059325,555
2870000,-194551.95851075882,468.66753888125186,555
2880000,-196440.62068116898,453.61183405270526,555
2890000,-197133.53126466507,462.35826764756825,555
2900000,-200236.82087648148,439.56382647622854,555
2910000,-197816.137099626,459.82468359505316,555
2920000,-199107.37208497757,437.14751114828556,555
2930000,-202351.51875245804,426.3841856186053,555
2940000,-204861.44135987991,410.28296194699254,555
2950000,-207740.2141259932,395.41253745338884,555
2960000,-202161.52275026077,424.2258707143984,555
2970000,-200208.83918702835,435.28836465741034,555
