>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f0ac8fa2970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
700000,-216570.6926416182,370.07413059950375,641
710000,-226207.09492433304,324.7982360411478,641
720000,-228996.1863549971,318.25063589407125,642
730000,-217864.1179956221,361.60922820127234,642
740000,-210102.35346925491,385.06008458063775,642
750000,-222599.7614282393,343.0875291788865,642
760000,-235359.79054200882,294.99815730700936,642
770000,-243033.12751710648,272.0121170480055,642
780000,-242388.27644288773,279.7474836561361,643
790000,-237360.33113038773,293.35734945935354,643
800000,-237713.7865136885,295.1270370926635,644
810000,-242520.2488549971,271.66186168109937,644
820000,-244664.99305665726,274.24172340752534,645
830000,-240771.22511232132,282.65701944108815,645
840000,-235202.0905298018,296.33475179227895,646
850000,-229560.98750245804,319.34844571459905,646
860000,-217892.74177491898,365.77412470569,646
870000,-209669.89796388382,397.419459520736,646
880000,-200145.500380876,437.3418235300583,646
890000,-198363.1970971846,454.6187034494733,646
900000,-191487.51374757523,492.2408473288695,646
910000,-197301.91230714554,456.15877694902247,646
920000,-193623.55375612015,468.66318648848784,646
930000,-208216.33918702835,400.38712423995986,646
940000,-209145.4011987471,394.30573018241296,646
950000,-203075.75062501663,424.6491571180464,645
960000,-200967.61128175491,439.03748913969173,645
970000,-205136.95844972366,415.876931464995,645
980000,-214347.27168214554,378.2818339504861,645
990000,-219790.25831544632,352.28492620782595,645
1000000,-227987.63148439163,317.2237341189875,645
1010000,-223550.90547120804,335.8941884124614,645
1020000,-217567.15925538773,360.4415312955767,646
1030000,-215672.94154298538,372.453145569107,646
1040000,-207382.34278810257,401.03185197490876,646
1050000,-200781.07087648148,439.91396860136314,646
1060000,-193892.70930421585,460.7456182534232,645
1070000,-188140.70564210648,504.1222806556548,645
1080000,-191174.70375001663,485.77200435828627,645
1090000,-190568.73634279007,482.0745065085555,645
1100000,-197528.26747071976,451.6780537867486,645
1110000,-203150.53120362991,423.2735416046273,645
