>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f063ae36970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2220000,-219705.26997316116,350.73502442760014,649
2230000,-217049.53236329788,361.89837735162325,649
2240000,-220561.78007447952,349.39332592568155,649
2250000,-223451.75813234085,345.3594319130101,649
2260000,-220011.69398439163,350.28248254202174,649
2270000,-222167.18269288773,341.8190109162173,649
2280000,-226380.01716554398,327.0369124032397,649
2290000,-228709.12605226273,319.91128142770947,649
2300000,-230881.60835206741,314.2411364355857,649
2310000,-230568.58735597366,309.1958240106128,650
2320000,-235257.59254396195,298.90060889247496,650
2330000,-234158.76023805374,297.1667523566557,650
2340000,-234305.57417237991,301.882916986424,650
2350000,-238257.1354516768,290.1062577506724,650
2360000,-237728.08790529007,294.6733985435669,650
2370000,-238131.19984376663,290.3967291632396,650
2380000,-237459.11531007523,295.47939405579245,651
2390000,-241207.1833032393,280.7814487745004,651
2400000,-240593.81294191116,277.88749598403786,651
2410000,-241078.14680421585,281.4290118539136,651
2420000,-240574.914443376,281.8455064644016,651
2430000,-242555.5045617842,272.5419129354972,651
2440000,-244816.37641847366,270.08698821396035,651
2450000,-242999.02488649124,275.59674502838186,652
2460000,-241282.12995851273,280.7644941870938,652
2470000,-237785.84297120804,290.3100440874839,652
2480000,-236568.318740251,299.52653497470175,652
2490000,-236221.2363122725,296.3765710183062,652
2500000,-234678.32862794632,300.37453581222667,652
2510000,-234891.67768800491,299.52326062420303,652
2520000,-231793.5202173018,309.13093441678024,652
2530000,-231668.32679689163,313.684531221802,652
2540000,-231750.33344972366,309.5244710022993,653
2550000,-229669.34376466507,324.34777506121657,653
2560000,-226540.13093507523,326.53916388904236,653
2570000,-225827.3389734053,330.5094004803749,653
2580000,-225945.78663575882,329.4052489005368,653
2590000,-229403.60017335648,321.06927876438306,653
2600000,-228804.37031495804,318.4580166451738,653
2610000,-226219.2975610518,330.86461672717513,653
2620000,-223215.43122804398,338.83067486227264,653
2630000,-218895.74336183304,358.75238996087006,653
2640000,-216503.68806398148,362.1646054866535,653
2650000,-217149.79023683304,364.8358443380325,653
2660000,-214876.7449487471,375.8994843364101,653
2670000,-216259.48371827835,364.75808006720183,653
2680000,-216666.0164331221,359.20839949777593,653
2690000,-219180.13215577835,356.2003661054831,653
