>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f305b156970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1270000,-191929.5910791182,490.61409004126654,551
1280000,-194155.4030298018,465.08679811157134,551
1290000,-188031.9719384932,494.5916534732919,551
1300000,-196435.87965333695,454.68942313013264,551
1310000,-191233.63966310257,489.2892080999517,551
1320000,-200323.7389673018,438.804901267546,551
1330000,-193858.46052491898,470.1394665880715,551
1340000,-191217.62281739945,483.6363160916561,551
1350000,-202420.4967798018,427.9606165104523,550
1360000,-198635.8083032393,436.0507329521832,550
1370000,-200314.1638940596,434.70855667640495,550
1380000,-188899.1170190596,499.84743061611044,550
1390000,-194828.52699220413,474.04483082644185,550
1400000,-199455.09712159866,438.6853319604238,550
1410000,-208342.60011232132,401.78790116642836,550
1420000,-208361.57484376663,390.7422093332119,550
1430000,-205152.334365251,409.99610316279023,550
1440000,-210934.76847779984,389.8195759399729,550
1450000,-212398.5508874678,385.25871953310525,550
1460000,-216947.7379907393,366.54560613756024,550
1470000,-223023.66224611038,340.73971130260253,550
1480000,-229088.57899415726,322.6382997931452,550
1490000,-228365.20698487991,321.7545177265944,550
1500000,-231222.2604516768,307.575205129217,550
1510000,-236885.11445558304,289.2609147237243,550
1520000,-240885.74388063187,286.9500435200365,550
1530000,-244498.60359132523,271.45657906291814,551
1540000,-244342.40797364945,272.24079274497427,551
1550000,-244943.43470704788,270.40518390642075,551
1560000,-241808.49751222366,281.6127663580684,551
1570000,-241255.40180909866,283.69000150144973,551
1580000,-240180.29255616898,286.7511292548317,552
1590000,-234559.1410363936,304.57529495518224,552
1600000,-234850.71601808304,302.3731770506594,552
1610000,-232050.83225953812,308.60138842540215,552
1620000,-234481.87110841507,301.0696934097634,552
1630000,-229460.2204126143,319.4458881619028,552
1640000,-226135.68550050491,330.1551396459198,552
1650000,-220071.9588159346,346.76734076162865,552
1660000,-216437.78083741898,359.6306877079192,552
1670000,-220274.02741945023,348.9217592440106,553
1680000,-216239.24555909866,363.1224380019393,553
1690000,-214375.60926759476,376.1965051574706,552
1700000,-205878.6120141768,409.73391233569765,552
1710000,-203702.1126855635,426.4170042194249,552
1720000,-200452.7379907393,439.66206776502924,552
1730000,-191993.36573732132,490.6590911514321,552
1740000,-187872.5727990889,501.61942202710543,552
1750000,-191245.90571534866,485.8596460490136,552
1760000,-190612.0404199385,484.38120477896484,552
1770000,-188351.6286157393,495.9196097982352,552
1780000,-196505.9037011885,454.22380523779736,552
1790000,-194494.97349488968,471.69127767964505,551
1800000,-199903.43208253616,435.71979680810136,551
1810000,-197420.85481202835,457.73234972164244,551
1820000,-191767.6031945967,483.60652334256866,551
