>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f0d40cc6970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
680000,-241325.04341066116,276.486379707493,554
690000,-243914.97511232132,274.2558583906184,555
700000,-241615.95307862991,281.6142247243182,555
710000,-235847.8074487471,300.7461887400296,556
720000,-226711.33259523148,329.57648725685,556
730000,-220138.36762941116,352.1013206225508,556
740000,-214869.92179811234,374.93544280532274,556
750000,-204900.2010034346,414.8975678571735,556
760000,-204730.83906495804,413.7404734747173,556
770000,-216777.43061769241,366.36259230113325,556
780000,-221582.91108644241,340.887123513351,556
790000,-223258.37263429398,335.2599435387088,556
800000,-231691.78016603226,315.6888835176426,556
810000,-226146.73091066116,326.1503261129286,557
820000,-214517.93702638382,372.5676279378873,557
830000,-220050.23933351273,351.7879702156236,557
840000,-212638.85511720413,389.6362088299322,557
850000,-207908.5047143721,404.7154142552173,557
860000,-198544.62599122757,447.7149600397165,556
870000,-189037.28919923538,501.3922673399915,556
880000,-194502.25114381546,465.947050714697,556
890000,-192262.34291017288,479.5554863289219,556
900000,-189924.7785791182,498.69264862666705,556
910000,-198714.54157960648,437.0920334989096,555
920000,-207151.70851075882,401.0661713395998,555
930000,-211720.36851442093,381.07268091968496,555
940000,-216107.4508813643,363.00336657116884,555
950000,-223367.2791284346,343.03976789111977,555
960000,-224811.37446534866,328.6419390550082,555
970000,-231537.6224511885,312.2870890632003,555
980000,-234535.283584001,297.05728335071274,556
990000,-237245.20625245804,292.7552196707055,556
1000000,-237634.67304933304,293.1816056402496,556
1010000,-241160.19489991898,281.9546297461681,556
